,revenue,zip
274,55.8194315899,52159
275,82.5273101818,52162
276,145.163774143,52166
277,99.4039622745,52172
278,119.146344999,52175
279,195.937871762,52205
280,106.7250792,52207
281,84.109615066,52208
282,73.6742829405,52211
283,52.5154913654,52213
284,72.291306342,52214
285,73.7560364494,52223
286,120.05325288,52224
287,118.803614308,52227
288,137.716903844,52228
289,93.6360279863,52233
290,172.262590647,52240
291,151.092981849,52241
292,63.4401250709,52248
293,93.1140522437,52253
294,100.205626886,52254
295,78.5221487958,52301
296,118.665437043,52302
297,125.598897483,52306
298,55.6537607564,52310
299,244.048068947,52314
300,106.616429331,52317
301,126.933453874,52324
302,132.471534324,52327
303,105.137635547,52328
304,38.1625407679,52332
305,128.307998071,52333
306,160.872392433,52336
307,217.445556254,52337
308,89.1287697692,52338
309,67.6415394923,52340
310,97.4321271672,52342
311,106.134976718,52345
312,84.6079056473,52347
313,222.031675389,52349
314,106.96503708,52351
315,154.855589714,52352
316,115.173525823,52353
317,80.4612632662,52356
318,39.613503789,52358
319,116.529427072,52361
320,156.303307763,52402
321,113.750473039,52411
322,96.5387554819,52501
323,103.977601212,52531
324,56.8117208285,52537
325,100.644712239,52544
326,118.046146554,52553
327,74.6288940577,52554
328,124.780110004,52556
329,94.058067307,52565
330,101.799146931,52571
331,112.941513523,52577
332,50.8625235228,52591
333,108.595506246,52601
334,83.4977377303,52623
335,93.3749335823,52626
336,107.999950891,52627
337,150.548594045,52632
338,46.298989463,52637
339,47.5168792251,52639
340,100.907573699,52641
341,68.8693165394,52653
342,122.817203763,52655
343,129.461504148,52656
344,162.52064062,52722
345,31.6133929656,52726
346,127.656211567,52728
347,109.849167292,52730
348,114.548552068,52732
349,62.5672732191,52738
350,157.305669089,52742
351,36.3007437282,52747
352,85.8748139994,52748
353,83.0924710902,52751
354,85.9009854738,52753
355,98.5921310551,52761
356,79.9551869565,52768
357,91.8910779382,52772
358,84.1114830399,52776
359,78.6269899799,52777
360,44.5232613774,52778
361,131.304107083,52803
