url,Reportdata number 1,Reportdata link 1,Reportdata link 1_link,Reportdata number 2,Reportdata link 2,Reportdata link 2_link,Reportdata number 3,Reportdata number 4,Reportdata number 5,
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,159,50426,http://zipatlas.com/us/ia/carpenter/zip-50426.htm,"43.407934, -93.014531",Carpenter,http://zipatlas.com/us/ia/carpenter.htm,123,122.61,"#13,062",123
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,160,52747,http://zipatlas.com/us/ia/durant/zip-52747.htm,"41.617715, -90.913546",Durant,http://zipatlas.com/us/ia/durant.htm,"1,824",118.85,"#13,203",119
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,161,52219,http://zipatlas.com/us/ia/prairieburg/zip-52219.htm,"42.231353, -91.413194",Prairieburg,http://zipatlas.com/us/ia/prairieburg.htm,123,117.08,"#13,273",117
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,162,50622,http://zipatlas.com/us/ia/denver/zip-50622.htm,"42.674516, -92.328755",Denver,http://zipatlas.com/us/ia/denver.htm,"2,973",116.29,"#13,300",116
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,163,50219,http://zipatlas.com/us/ia/pella/zip-50219.htm,"41.420909, -92.896533",Pella,http://zipatlas.com/us/ia/pella.htm,"12,745",111.35,"#13,515",111
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,164,50040,http://zipatlas.com/us/ia/boxholm/zip-50040.htm,"42.173645, -94.106139",Boxholm,http://zipatlas.com/us/ia/boxholm.htm,223,111.21,"#13,524",111
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,165,52701,http://zipatlas.com/us/ia/andover/zip-52701.htm,"41.980799, -90.251346",Andover,http://zipatlas.com/us/ia/andover.htm,92,109.44,"#13,607",109
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,166,50662,http://zipatlas.com/us/ia/oelwein/zip-50662.htm,"42.688662, -91.937486",Oelwein,http://zipatlas.com/us/ia/oelwein.htm,"7,564",108.15,"#13,665",108
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,167,51250,http://zipatlas.com/us/ia/sioux-center/zip-51250.htm,"43.076976, -96.204836",Sioux Center,http://zipatlas.com/us/ia/sioux-center.htm,"7,285",102.3,"#13,934",102
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,168,50125,http://zipatlas.com/us/ia/indianola/zip-50125.htm,"41.320167, -93.593025",Indianola,http://zipatlas.com/us/ia/indianola.htm,"17,474",101.48,"#13,968",101
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,169,50521,http://zipatlas.com/us/ia/burnside/zip-50521.htm,"42.346732, -94.116279",Burnside,http://zipatlas.com/us/ia/burnside.htm,96,96.83,"#14,217",97
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,170,51054,http://zipatlas.com/us/ia/sergeant-bluff/zip-51054.htm,"42.380126, -96.316111",Sergeant Bluff,http://zipatlas.com/us/ia/sergeant-bluff.htm,"4,062",94.25,"#14,351",94
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,171,52340,http://zipatlas.com/us/ia/tiffin/zip-52340.htm,"41.708901, -91.676649",Tiffin,http://zipatlas.com/us/ia/tiffin.htm,"1,202",93.2,"#14,417",93
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,172,51041,http://zipatlas.com/us/ia/orange-city/zip-51041.htm,"43.027141, -96.076217",Orange City,http://zipatlas.com/us/ia/orange-city.htm,"6,602",93.18,"#14,420",93
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,173,52577,http://zipatlas.com/us/ia/oskaloosa/zip-52577.htm,"41.272983, -92.661641",Oskaloosa,http://zipatlas.com/us/ia/oskaloosa.htm,"14,910",91.82,"#14,487",92
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,174,50105,http://zipatlas.com/us/ia/gilbert/zip-50105.htm,"42.114871, -93.641179",Gilbert,http://zipatlas.com/us/ia/gilbert.htm,"1,126",91.7,"#14,501",92
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,175,50220,http://zipatlas.com/us/ia/perry/zip-50220.htm,"41.840661, -94.119910",Perry,http://zipatlas.com/us/ia/perry.htm,"8,891",90.32,"#14,587",90
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,176,51554,http://zipatlas.com/us/ia/mineola/zip-51554.htm,"41.141335, -95.682653",Mineola,http://zipatlas.com/us/ia/mineola.htm,203,90.3,"#14,588",90
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,177,50677,http://zipatlas.com/us/ia/waverly/zip-50677.htm,"42.766784, -92.429682",Waverly,http://zipatlas.com/us/ia/waverly.htm,"11,297",88.65,"#14,691",89
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,178,52341,http://zipatlas.com/us/ia/toddville/zip-52341.htm,"42.114856, -91.727808",Toddville,http://zipatlas.com/us/ia/toddville.htm,"1,021",88.05,"#14,728",88
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,179,50226,http://zipatlas.com/us/ia/polk-city/zip-50226.htm,"41.794476, -93.692765",Polk City,http://zipatlas.com/us/ia/polk-city.htm,"3,360",87.53,"#14,765",88
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,180,51534,http://zipatlas.com/us/ia/glenwood/zip-51534.htm,"41.046626, -95.714689",Glenwood,http://zipatlas.com/us/ia/glenwood.htm,"8,475",86.53,"#14,836",87
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,181,52040,http://zipatlas.com/us/ia/dyersville/zip-52040.htm,"42.503645, -91.141809",Dyersville,http://zipatlas.com/us/ia/dyersville.htm,"5,403",86.09,"#14,869",86
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,182,50047,http://zipatlas.com/us/ia/carlisle/zip-50047.htm,"41.471152, -93.475425",Carlisle,http://zipatlas.com/us/ia/carlisle.htm,"5,092",85,"#14,934",85
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,183,50465,http://zipatlas.com/us/ia/rake/zip-50465.htm,"43.484442, -93.915138",Rake,http://zipatlas.com/us/ia/rake.htm,241,84.84,"#14,938",85
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,184,50588,http://zipatlas.com/us/ia/storm-lake/zip-50588.htm,"42.658692, -95.166279",Storm Lake,http://zipatlas.com/us/ia/storm-lake.htm,"12,230",84.8,"#14,942",85
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,185,52338,http://zipatlas.com/us/ia/swisher/zip-52338.htm,"41.817900, -91.707501",Swisher,http://zipatlas.com/us/ia/swisher.htm,"2,857",83.82,"#15,007",84
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,186,52652,http://zipatlas.com/us/ia/swedesburg/zip-52652.htm,"41.097904, -91.554298",Swedesburg,http://zipatlas.com/us/ia/swedesburg.htm,86,83.43,"#15,035",83
