,year,county_code,nan,working_pop,employed_pop,unemployed_pop,unemp_perc
212,2003,06057,,48277.0,45602.0,2675.0,5.5
213,2003,06059,,1545768.0,1472492.0,73276.0,4.7
214,2003,06061,,152740.0,145004.0,7736.0,5.1
215,2003,06063,,10443.0,9420.0,1023.0,9.8
216,2003,06065,,775966.0,725702.0,50264.0,6.5
217,2003,06067,,652166.0,614089.0,38077.0,5.8
218,2003,06069,,25500.0,22974.0,2526.0,9.9
219,2003,06071,,802230.0,752340.0,49890.0,6.2
220,2003,06073,,1457538.0,1382273.0,75265.0,5.2
221,2003,06075,,429292.0,400587.0,28705.0,6.7
222,2003,06077,,278846.0,253418.0,25428.0,9.1
223,2003,06079,,127924.0,121939.0,5985.0,4.7
224,2003,06081,,366878.0,345638.0,21240.0,5.8
225,2003,06083,,207876.0,197443.0,10433.0,5.0
226,2003,06085,,843720.0,773878.0,69842.0,8.3
227,2003,06087,,144155.0,133052.0,11103.0,7.7
228,2003,06089,,82380.0,76198.0,6182.0,7.5
229,2003,06091,,1635.0,1483.0,152.0,9.3
230,2003,06093,,19216.0,17399.0,1817.0,9.5
231,2003,06095,,205399.0,192560.0,12839.0,6.3
232,2003,06097,,252912.0,239225.0,13687.0,5.4
233,2003,06099,,221714.0,199975.0,21739.0,9.8
234,2003,06101,,39403.0,35017.0,4386.0,11.1
235,2003,06103,,25613.0,23658.0,1955.0,7.6
236,2003,06105,,5376.0,4815.0,561.0,10.4
237,2003,06107,,181161.0,159083.0,22078.0,12.2
238,2003,06109,,25295.0,23527.0,1768.0,7.0
239,2003,06111,,409668.0,386156.0,23512.0,5.7
240,2003,06113,,91289.0,85500.0,5789.0,6.3
241,2003,06115,,25183.0,22497.0,2686.0,10.7
242,2003,08001,,200583.0,186573.0,14010.0,7.0
243,2003,08003,,8190.0,7724.0,466.0,5.7
244,2003,08005,,291896.0,274121.0,17775.0,6.1
245,2003,08007,,5589.0,5268.0,321.0,5.7
246,2003,08009,,2374.0,2287.0,87.0,3.7
247,2003,08011,,2413.0,2230.0,183.0,7.6
248,2003,08013,,164483.0,155291.0,9192.0,5.6
249,2003,08014,,23707.0,22230.0,1477.0,6.2
250,2003,08015,,7813.0,7373.0,440.0,5.6
251,2003,08017,,1287.0,1243.0,44.0,3.4
252,2003,08019,,6012.0,5682.0,330.0,5.5
253,2003,08021,,3759.0,3499.0,260.0,6.9
254,2003,08023,,1333.0,1198.0,135.0,10.1
255,2003,08025,,1604.0,1467.0,137.0,8.5
256,2003,08027,,1967.0,1868.0,99.0,5.0
257,2003,08029,,14094.0,13273.0,821.0,5.8
258,2003,08031,,302578.0,281272.0,21306.0,7.0
259,2003,08033,,987.0,907.0,80.0,8.1
260,2003,08035,,128710.0,122091.0,6619.0,5.1
261,2003,08037,,26188.0,24960.0,1228.0,4.7
262,2003,08039,,12572.0,11894.0,678.0,5.4
263,2003,08041,,279948.0,262889.0,17059.0,6.1
264,2003,08043,,18572.0,17202.0,1370.0,7.4
265,2003,08045,,26980.0,25668.0,1312.0,4.9
266,2003,08047,,3297.0,3107.0,190.0,5.8
267,2003,08049,,8417.0,8072.0,345.0,4.1
268,2003,08051,,8357.0,7964.0,393.0,4.7
269,2003,08053,,610.0,585.0,25.0,4.1
270,2003,08055,,3354.0,3073.0,281.0,8.4
271,2003,08057,,1074.0,1020.0,54.0,5.0
272,2003,08059,,305664.0,288127.0,17537.0,5.7
273,2003,08061,,865.0,821.0,44.0,5.1
274,2003,08063,,4241.0,4060.0,181.0,4.3
275,2003,08065,,3791.0,3562.0,229.0,6.0
276,2003,08067,,26612.0,25447.0,1165.0,4.4
277,2003,08069,,159187.0,151297.0,7890.0,5.0
278,2003,08071,,7847.0,7385.0,462.0,5.9
279,2003,08073,,3001.0,2870.0,131.0,4.4
280,2003,08075,,10886.0,10433.0,453.0,4.2
281,2003,08077,,66826.0,63199.0,3627.0,5.4
282,2003,08079,,445.0,423.0,22.0,4.9
