,year,county_code,pov_count_tot,pov_rate_tot,pov_youth_count_0-17,pov_youth_rate_0-17,med_hh_income
141,2003,05059,4562.0,15.0,1654.0,22.8,32498.0
142,2003,05061,2235.0,15.7,847.0,22.6,27569.0
143,2003,05063,5045.0,14.9,1831.0,22.7,32910.0
144,2003,05065,2282.0,18.1,729.0,27.7,26293.0
145,2003,05067,3244.0,20.7,1118.0,30.1,26246.0
146,2003,05069,16310.0,21.0,6198.0,29.8,31211.0
147,2003,05071,3964.0,17.1,1520.0,26.0,28791.0
148,2003,05073,1682.0,20.7,583.0,29.9,24399.0
149,2003,05075,3221.0,19.0,1169.0,29.7,27899.0
150,2003,05077,2943.0,29.4,1102.0,39.3,21891.0
151,2003,05079,2506.0,23.5,811.0,28.5,28405.0
152,2003,05081,2025.0,15.4,702.0,22.5,30014.0
153,2003,05083,3698.0,16.4,1344.0,24.2,29613.0
154,2003,05085,6262.0,10.7,2398.0,15.5,42953.0
155,2003,05087,2486.0,17.0,907.0,25.4,28515.0
156,2003,05089,2781.0,17.1,983.0,30.4,27187.0
157,2003,05091,7446.0,17.9,2848.0,26.5,32209.0
158,2003,05093,10707.0,22.4,4549.0,32.2,27844.0
159,2003,05095,2164.0,23.2,829.0,34.7,24069.0
160,2003,05097,1592.0,17.3,559.0,28.1,27109.0
161,2003,05099,1845.0,19.5,638.0,27.6,27029.0
162,2003,05101,1690.0,20.0,597.0,32.0,25886.0
163,2003,05103,5097.0,18.7,1862.0,28.0,29574.0
164,2003,05105,1532.0,14.8,560.0,22.3,32198.0
165,2003,05107,6903.0,28.6,3132.0,41.3,22660.0
166,2003,05109,1687.0,15.6,572.0,22.3,29172.0
167,2003,05111,5151.0,20.6,2007.0,31.7,27718.0
168,2003,05113,3826.0,19.2,1462.0,30.1,25699.0
169,2003,05115,8913.0,16.5,3093.0,23.1,32990.0
170,2003,05117,1404.0,15.5,476.0,23.3,30885.0
171,2003,05119,54593.0,15.1,20544.0,22.4,39325.0
172,2003,05121,3139.0,17.3,1136.0,26.7,28598.0
173,2003,05123,6524.0,25.4,2593.0,33.9,25571.0
174,2003,05125,8293.0,9.4,2821.0,13.5,44342.0
175,2003,05127,2061.0,18.9,816.0,29.9,25706.0
176,2003,05129,1764.0,22.0,593.0,34.8,21836.0
177,2003,05131,17872.0,15.4,6876.0,22.7,35685.0
178,2003,05133,2861.0,17.9,1191.0,26.0,28620.0
179,2003,05135,3480.0,20.0,1248.0,34.0,24647.0
180,2003,05137,2141.0,18.4,755.0,31.1,23646.0
181,2003,05139,7788.0,17.7,2838.0,25.7,31957.0
182,2003,05141,2771.0,16.9,976.0,28.5,27204.0
183,2003,05143,23274.0,13.8,7861.0,17.9,36928.0
184,2003,05145,10485.0,15.6,3735.0,22.5,34019.0
185,2003,05147,1863.0,23.2,690.0,34.4,23706.0
186,2003,05149,3289.0,15.6,1248.0,23.2,28569.0
187,2003,06000,4836106.0,13.7,1866535.0,19.5,48440.0
188,2003,06001,154270.0,10.7,51611.0,14.3,56225.0
189,2003,06003,157.0,13.3,46.0,21.7,38825.0
190,2003,06005,3071.0,9.2,850.0,12.9,44494.0
191,2003,06007,32917.0,15.8,10339.0,21.8,33528.0
192,2003,06009,4407.0,9.7,1238.0,13.6,43462.0
193,2003,06011,2585.0,12.9,1119.0,18.9,36579.0
194,2003,06013,75201.0,7.5,25598.0,9.8,64365.0
195,2003,06015,4590.0,18.6,1631.0,26.1,29990.0
196,2003,06017,12900.0,7.5,3916.0,9.7,54131.0
197,2003,06019,174630.0,20.5,79421.0,30.0,36003.0
198,2003,06021,4114.0,15.2,1751.0,22.2,32725.0
199,2003,06023,19629.0,15.7,5937.0,21.6,32211.0
200,2003,06025,27843.0,19.7,13195.0,28.8,32637.0
201,2003,06027,1924.0,10.6,627.0,15.6,37553.0
202,2003,06029,127380.0,18.1,57455.0,25.7,37614.0
203,2003,06031,21786.0,18.1,9258.0,23.3,36137.0
204,2003,06033,9437.0,14.8,3226.0,22.2,31178.0
205,2003,06035,3786.0,14.9,1123.0,16.8,37687.0
206,2003,06037,1729767.0,17.6,693408.0,25.5,41544.0
207,2003,06039,24655.0,18.9,10616.0,27.3,36050.0
208,2003,06041,17472.0,7.4,4041.0,8.1,66764.0
209,2003,06043,2034.0,11.4,583.0,17.0,35437.0
210,2003,06045,12788.0,14.6,4702.0,22.7,35869.0
211,2003,06047,42463.0,18.2,19884.0,25.9,36738.0
212,2003,06049,1545.0,16.6,543.0,26.1,28533.0
213,2003,06051,1102.0,8.7,317.0,11.2,45654.0
214,2003,06053,53604.0,13.6,22553.0,19.4,45596.0
215,2003,06055,10044.0,7.8,3134.0,10.2,51991.0
216,2003,06057,8048.0,8.3,2264.0,11.4,47680.0
217,2003,06059,314072.0,10.6,114491.0,14.5,55909.0
218,2003,06061,17975.0,5.9,5666.0,7.9,61522.0
219,2003,06063,2144.0,10.1,598.0,14.2,39514.0
220,2003,06065,225335.0,12.2,91018.0,17.1,44598.0
221,2003,06067,181996.0,13.6,70771.0,19.4,46351.0
222,2003,06069,5152.0,9.2,2191.0,12.7,56371.0
223,2003,06071,299582.0,16.0,129623.0,22.0,43294.0
224,2003,06073,331677.0,11.6,114706.0,15.2,48766.0
225,2003,06075,88476.0,12.0,20041.0,18.4,51402.0
226,2003,06077,92380.0,14.5,37887.0,19.8,42789.0
227,2003,06079,26705.0,11.1,6976.0,13.8,44310.0
228,2003,06081,47375.0,6.8,13472.0,8.3,65110.0
229,2003,06083,50645.0,13.0,17448.0,17.7,45818.0
230,2003,06085,145624.0,8.8,46574.0,11.1,68223.0
231,2003,06087,27485.0,11.3,8788.0,15.3,50977.0
232,2003,06089,23569.0,13.5,8316.0,20.0,36478.0
233,2003,06091,317.0,9.2,93.0,13.7,36545.0
234,2003,06093,6896.0,15.6,2306.0,24.5,31165.0
235,2003,06095,33164.0,8.3,12696.0,11.2,56595.0
236,2003,06097,40475.0,8.8,12464.0,11.4,52088.0
237,2003,06099,69496.0,14.1,29074.0,19.7,41619.0
238,2003,06101,11017.0,12.9,4413.0,18.7,39718.0
239,2003,06103,8762.0,14.8,3436.0,22.8,32905.0
240,2003,06105,1930.0,14.4,577.0,21.6,29063.0
241,2003,06107,85104.0,21.4,40798.0,31.3,33190.0
242,2003,06109,6012.0,11.5,1807.0,17.3,39620.0
243,2003,06111,76668.0,9.7,28692.0,13.2,57885.0
244,2003,06113,21320.0,12.0,6375.0,14.3,43612.0
245,2003,06115,10602.0,16.7,4852.0,25.0,32802.0
246,2003,08000,451658.0,10.0,151196.0,12.8,49248.0
247,2003,08001,40377.0,10.4,15699.0,14.0,48633.0
248,2003,08003,2630.0,18.5,981.0,23.9,30994.0
249,2003,08005,40973.0,7.9,14135.0,10.1,55907.0
250,2003,08007,1287.0,11.1,430.0,16.5,38677.0
251,2003,08009,638.0,15.8,206.0,22.7,26434.0
252,2003,08011,932.0,19.3,327.0,25.5,27369.0
253,2003,08013,25866.0,9.5,5896.0,9.4,57112.0
254,2003,08014,2194.0,5.1,728.0,6.0,64005.0
255,2003,08015,1804.0,11.5,502.0,16.1,35719.0
256,2003,08017,223.0,11.1,79.0,14.9,35873.0
257,2003,08019,628.0,6.8,189.0,9.6,57211.0
258,2003,08021,1640.0,19.6,652.0,26.6,26749.0
259,2003,08023,782.0,21.7,267.0,31.0,21731.0
260,2003,08025,895.0,25.6,271.0,28.3,23469.0
261,2003,08027,429.0,11.2,142.0,18.4,37830.0
262,2003,08029,3837.0,13.2,1278.0,18.8,33625.0
263,2003,08031,82948.0,15.1,29046.0,21.5,41036.0
264,2003,08033,218.0,12.1,63.0,16.0,31923.0
265,2003,08035,5355.0,2.2,1535.0,2.1,93013.0
266,2003,08037,2957.0,6.4,803.0,7.3,58347.0
267,2003,08039,1250.0,5.6,436.0,7.2,66647.0
268,2003,08041,56300.0,10.4,20874.0,13.6,49292.0
269,2003,08043,5363.0,14.0,1646.0,17.8,33837.0
270,2003,08045,4062.0,8.5,1486.0,11.2,48153.0
271,2003,08047,283.0,5.8,76.0,7.3,53044.0
272,2003,08049,998.0,7.6,271.0,9.7,48348.0
273,2003,08051,1560.0,11.7,316.0,12.1,37782.0
274,2003,08053,75.0,9.2,31.0,21.0,35958.0
275,2003,08055,1314.0,19.2,425.0,28.3,25751.0
276,2003,08057,187.0,12.9,66.0,20.5,32071.0
277,2003,08059,35505.0,6.8,10246.0,7.9,58851.0
278,2003,08061,148.0,10.4,43.0,12.9,30850.0
279,2003,08063,957.0,13.2,353.0,18.1,32891.0
280,2003,08065,884.0,11.6,305.0,14.3,35040.0
281,2003,08067,4768.0,10.6,1216.0,12.6,42846.0
282,2003,08069,24558.0,9.3,6156.0,9.9,50275.0
283,2003,08071,2329.0,15.5,746.0,21.1,30092.0
284,2003,08073,705.0,15.0,234.0,18.7,31205.0
285,2003,08075,2428.0,12.8,797.0,16.0,34329.0
286,2003,08077,13944.0,11.1,4753.0,15.7,38129.0
287,2003,08079,88.0,9.4,29.0,15.6,37018.0
288,2003,08081,1279.0,9.5,438.0,12.1,45071.0
289,2003,08083,3673.0,15.0,1371.0,21.3,33212.0
290,2003,08085,4490.0,12.3,1652.0,18.0,38454.0
291,2003,08087,3517.0,12.7,1379.0,16.5,34892.0
292,2003,08089,3423.0,17.9,1328.0,25.7,29317.0
293,2003,08091,317.0,7.6,86.0,9.8,45521.0
294,2003,08093,1220.0,7.3,382.0,10.1,52265.0
295,2003,08095,483.0,10.8,162.0,13.5,33697.0
296,2003,08097,765.0,5.2,130.0,5.4,59624.0
297,2003,08099,2416.0,17.5,1000.0,23.6,29411.0
298,2003,08101,22337.0,15.2,8049.0,21.2,35130.0
299,2003,08103,550.0,9.3,170.0,11.4,41730.0
300,2003,08105,2025.0,16.5,873.0,26.5,33935.0
301,2003,08107,1322.0,6.3,314.0,7.2,53252.0
302,2003,08109,1462.0,20.8,525.0,27.5,23764.0
303,2003,08111,78.0,13.6,16.0,18.2,32640.0
304,2003,08113,622.0,8.8,142.0,11.5,45521.0
305,2003,08115,276.0,11.0,87.0,15.4,27773.0
306,2003,08117,1600.0,6.5,314.0,7.0,51610.0
307,2003,08119,1631.0,7.6,610.0,11.9,51532.0
308,2003,08121,499.0,10.8,162.0,14.7,31036.0
309,2003,08123,22189.0,10.3,7853.0,13.1,44756.0
310,2003,08125,1166.0,12.0,420.0,15.7,34494.0
311,2003,09000,273051.0,8.0,88254.0,10.5,56409.0
312,2003,09001,65152.0,7.3,19841.0,8.6,61035.0
313,2003,09003,78790.0,9.2,26622.0,12.8,51630.0
314,2003,09005,10321.0,5.5,2818.0,6.5,58029.0
315,2003,09007,8033.0,5.1,2001.0,5.6,61869.0
316,2003,09009,77769.0,9.4,27168.0,13.6,50737.0
317,2003,09011,16861.0,6.6,5326.0,8.5,51513.0
318,2003,09013,7083.0,5.3,1622.0,5.3,61418.0
319,2003,09015,9041.0,8.1,2857.0,10.8,45996.0
320,2003,10000,73415.0,9.0,25106.0,13.0,48770.0
321,2003,10001,14489.0,10.7,5705.0,16.4,43446.0
322,2003,10003,41937.0,8.3,13772.0,11.2,53562.0
323,2003,10005,16989.0,10.0,5629.0,15.8,39395.0
324,2003,11000,94560.0,17.5,31755.0,29.5,43215.0
325,2003,11001,94560.0,17.5,31755.0,29.5,43215.0
326,2003,12000,2219257.0,13.0,770946.0,19.4,38985.0
327,2003,12001,34166.0,16.2,8713.0,19.8,33176.0
328,2003,12003,2981.0,13.7,1188.0,18.9,39281.0
329,2003,12005,19810.0,12.8,7507.0,20.2,37081.0
330,2003,12007,3709.0,16.2,1262.0,22.0,32598.0
331,2003,12009,51408.0,10.1,16001.0,14.7,42192.0
332,2003,12011,217958.0,12.5,75002.0,17.4,42673.0
333,2003,12013,2084.0,18.2,708.0,24.1,26615.0
334,2003,12015,14402.0,9.3,3950.0,16.0,36514.0
335,2003,12017,15989.0,12.4,4798.0,22.2,31932.0
